"year","wiki_ref","wiki_query","producer","distributor","name","country","director","cinematography","editing","studio","budget","gross","runtime","music","writer","starring","language","released"
2000,"/wiki/Supernova_(2000_film)","Supernova_(2000_film)","['Ash R. Shaw', 'Daniel Chuba', 'Jamie Dixon']","['MGM Distribution Co.']","Supernova","['United States', 'Switzerland']","['Walter Hill', ""'''"", ""'''"", 'Jack Sholder', 'Francis Ford Coppola']","['Lloyd Ahern II']","['Lloyd Ahern II']","['Screenland Pictures', 'Hammerhead Productions', 'Metro Goldwyn Mayer']","60–90000000","14800000","90","['David C. Williams', 'David C. Williams']","[]","['James Spader', 'Angela Bassett', 'Robert Forster', 'Lou Diamond Phillips', 'Peter Facinelli', 'Robin Tunney', 'Wilson Cruz']","['English']","2000/01/14"
2000,"/wiki/My_Dog_Skip_(film)","My_Dog_Skip_(film)","['Mark Johnson', 'Mark Johnson', 'Andrew Kosove', 'Broderick Johnson', 'John Lee Hancock']","['Warner Bros. Pictures']","My Dog Skip","['United States']","['Jay Russell']","['James L. Carter']","['James L. Carter']","['Alcon Entertainment', 'MDS Productions LLC', 'Warner Bros. Family Entertainment']","4500000","35547761","95","['William Ross', 'William Ross']","['Gail Gilchriest']","['Frankie Muniz', 'Diane Lane', 'Luke Wilson', 'Kevin Bacon', 'Harry Connick, Jr.']","['English']","2000/01/14"
2000,"/wiki/Down_to_You","Down_to_You","[]","['Buena Vista Pictures']","Down to You","['United States']","['Kris Isacsson']","['Robert D. Yeoman']","['Robert D. Yeoman']","['Miramax Films']","35000000","24400000","92","['Edmund Choi']","['Kris Isacsson']","['Freddie Prinze, Jr.', 'Julia Stiles', 'Selma Blair', 'Shawn Hatosy', 'Zak Orth', 'Ashton Kutcher', 'Rosario Dawson', 'Lucie Arnaz', 'Henry Winkler']","['English', 'French']","2000/01/21"
2000,"/wiki/Eye_of_the_Beholder_(film)","Eye_of_the_Beholder_(film)","['Nicolas Clermont']","['Destination Films', 'Seville Pictures', 'small', 'Universal Pictures', 'small', 'Village Roadshow', 'Roadshow Entertainment', 'small']","Eye of the Beholder","['Canada', 'United Kingdom', 'Australia']","['Stephan Elliott']","['Guy Dufaux']","['Guy Dufaux']","['Village Roadshow Pictures', 'Behaviour Interactive', 'Behaviour Communications']","35000000","17600000","110","['Marius de Vries']","[]","['Ewan McGregor', 'Ashley Judd', 'Patrick Bergin', 'k.d. lang', 'k.d. Lang', 'Jason Priestley', 'Genevi\xc3\xa8ve Bujold']","['English']",""
2000,"/wiki/The_Big_Tease","The_Big_Tease","['Philip Rose']","['Warner Bros.']","The Big Tease","['United States']","['Kevin Allen', 'Kevin Allen']","[]","[]","[]","","","86","['Mark Thomas']","['Sacha Gervasi', 'Craig Ferguson']","['Craig Ferguson', 'Frances Fisher', 'Mary McCormack', 'David Rasche', 'Chris Langham']","['English']","1999/12/24"
2000,"/wiki/Gun_Shy_(film)","Gun_Shy_(film)","['Sandra Bullock']","['Walt Disney Studios Motion Pictures', 'Buena Vista Pictures']","Gun Shy","['United States']","['Eric Blakeney']","['Tom Richmond', 'Tom Richmond']","['Tom Richmond', 'Tom Richmond']","['Hollywood Pictures', 'Sandra Bullock', 'Fortis Films']","14000000","3000000","101","['Rolfe Kent']","['Eric Blakeney']","['Liam Neeson', 'Oliver Platt', 'Sandra Bullock', 'Jos\xc3\xa9 Z\xc3\xba\xc3\xb1iga', 'Richard Schiff', 'Mary McCormack', 'Mitch Pileggi']","['English']","2000/2/4"
2000,"/wiki/Scream_3","Scream_3","[]","['Dimension Films']","Scream 3","['United States']","['Wes Craven']","['Peter Deming']","['Peter Deming']","[]","40000000","161800000","117","['Marco Beltrami']","['Ehren Kruger']","['David Arquette', 'Neve Campbell', 'Courteney Cox', 'Courteney Cox Arquette', 'Patrick Dempsey', 'Scott Foley', 'Lance Henriksen', 'Matt Keeslar', 'Jenny McCarthy', 'Emily Mortimer', 'Parker Posey', 'Deon Richmond', 'Patrick Warburton']","['English']","2000/2/3"
2000,"/wiki/Snow_Day_(film)","Snow_Day_(film)","['Albie Hecht', 'Julia Pistor']","['Paramount Pictures']","Snow Day","['United States']","['Chris Koch']","['Robbie Greenberg']","['Robbie Greenberg']","['Nickelodeon Movies', 'C.O.R.E.']","13000000","62500000","89","['Steve Bartek']","['Will McRobb and Chris Viscardi', 'Will McRobb', 'Will McRobb and Chris Viscardi', 'Chris Viscardi']","['Chris Elliott', 'Mark Webber', 'Mark Webber', 'Jean Smart', 'Chevy Chase']","['English']","2000/1/29"
2000,"/wiki/The_Beach_(film)","The_Beach_(film)","['Andrew Macdonald', 'Andrew Macdonald']","['20th Century Fox']","The Beach","['United Kingdom', 'United States']","['Danny Boyle']","['Darius Khondji']","['Darius Khondji']","[]","50000000","144100000","119","['Angelo Badalamenti', 'John Cale', 'Brian Eno']","[]","['Leonardo DiCaprio', 'Tilda Swinton', 'Virginie Ledoyen', 'Guillaume Canet', 'Robert Carlyle', 'Leonardo DiCaprio', 'Tilda Swinton', 'Virginie Ledoyen', 'Guillaume Canet', 'Robert Carlyle']","['English']",""
2000,"/wiki/The_Tigger_Movie","The_Tigger_Movie","['Cheryl Abood']","['Walt Disney Studios Motion Pictures', 'Buena Vista Pictures']","The Tigger Movie","['United States']","['Jun Falkenstein']","[]","[]","['Walt Disney Pictures', 'Disney Television Animation', 'Walt Disney Television Animation', 'Disney MovieToons', 'Walt Disney Animation Japan']","30000000","96200000","77","['Harry Gregson Williams']","[]","['Jim Cummings', 'Nikita Hopkins', 'Ken Sansom', 'John Fiedler', 'Peter Cullen', 'Andre Stojka', 'Kath Soucie', 'Tom Attenborough', 'Frank Welker', 'John Hurt']","['English']","2000/02/06"
